Motion Profile: Recording - 531 2018.04.91
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity
0.8025415444770283,-0.8025415444770283,,0.0107501,-0.010972899999999999,,0.17303510406958683,-0.15154400761801118
0.8025415444770283,-0.8025415444770283,,0.0118084,-0.0121426,,0.18831882342997214,-0.1918870037033847
0.8025415444770283,-0.8025415444770283,,0.0126996,-0.01300595,,0.20110118241718566,-0.19168889271272477
0.8025415444770283,-0.8025415444770283,,0.0135908,-0.01384145,,0.1997131588382933,-0.18809624314056564
0.8025415444770283,-0.8025415444770283,,0.0146491,-0.01478835,,0.2415961830405552,-0.2058959430736531
0.8025415444770283,-0.8025415444770283,,0.0159859,-0.0159859,,0.25629817094213736,-0.23388620617258032
0.8025415444770283,-0.8025415444770283,,0.0174341,-0.01735055,,0.2651749583432516,-0.2580794625275107
0.8025415444770283,-0.8025415444770283,,0.0191608,-0.0189937,,0.2623336865654068,-0.25656379548595115
0.8025415444770283,-0.8025415444770283,,0.02102675,-0.0208318,,0.24676043858677593,-0.24813453613988196
0.8025415444770283,-0.8025415444770283,,0.0215559,-0.021305249999999998,,0.2532681595998636,-0.2412299696838458
0.8025415444770283,-0.8025415444770283,,0.0226699,-0.02236355,,0.269537865956932,-0.24526640246587406
0.8025415444770283,-0.8025415444770283,,0.02403455,-0.023728199999999998,,0.26568089673264966,-0.2985394613426236
0.8025415444770283,-0.8025415444770283,,0.02537135,-0.02509285,,0.29040667361835243,-0.2207251832771944
0.8025415444770283,-0.8025415444770283,,0.02798925,-0.0275158,,0.28480122715070944,-0.2837493632195619
0.8025415444770283,-0.8025415444770283,,0.02882475,-0.0282956,,0.3078623739118419,-0.29671061392995074
0.8269794721407625,-0.8260019550342131,,0.030857799999999998,-0.03044005,,0.3180131316014844,-0.320299022426682
0.8269794721407625,-0.8260019550342131,,0.03172115,-0.0312477,,0.3325373134328358,-0.3113906359189378
0.8269794721407625,-0.8260019550342131,,0.0332529,-0.03266805,,0.34287473068636504,-0.31082589285714285
0.8269794721407625,-0.8260019550342131,,0.035146699999999996,-0.0344226,,0.3530343844081762,-0.33159696383390386
0.8269794721407625,-0.8260019550342131,,0.03667845,-0.035954349999999996,,0.36233533907952514,-0.3529225407888484
0.8269794721407625,-0.8260019550342131,,0.03840515,-0.0376532,,0.37533692722371964,-0.35320228281547245
0.8269794721407625,-0.8260019550342131,,0.040466049999999996,-0.0396027,,0.3787827269636178,-0.3420850606479349
0.8269794721407625,-0.8260019550342131,,0.043418149999999996,-0.0424434,,0.40274765003615326,-0.36802114304592004
0.8269794721407625,-0.8260019550342131,,0.04497775,-0.04391945,,0.3848013816925734,-0.36723256963903084
0.8347996089931574,-0.833822091886608,,0.046982949999999996,-0.04586895,,0.4052382684612586,-0.3927375286444562
0.8347996089931574,-0.833822091886608,,0.04848685,-0.04731715,,0.4231718898385565,-0.4053119883572858
0.8347996089931574,-0.833822091886608,,0.050826249999999996,-0.049545149999999996,,0.41122185308231823,-0.409935602575897
0.8347996089931574,-0.833822091886608,,0.0524137,-0.0511326,,0.42519083969465654,-0.4045759941892137
0.8347996089931574,-0.833822091886608,,0.0545303,-0.0532492,,0.40442911599201303,-0.4018034265103697
0.8347996089931574,-0.833822091886608,,0.056869699999999995,-0.05533795,,0.4287088705022128,-0.423977164605138
0.8347996089931574,-0.833822091886608,,0.0594876,-0.057955849999999996,,0.4444444444444444,-0.42895648825567967
0.8347996089931574,-0.833822091886608,,0.061047199999999996,-0.059431899999999996,,0.4667923737691179,-0.4249475491131032
0.8426197458455523,-0.841642228739003,,0.06324735,-0.0614371,,0.46964586846543,-0.40501726958734774
0.8426197458455523,-0.841642228739003,,0.06619944999999999,-0.06436135,,0.4682639764606978,-0.4669880528191155
0.8426197458455523,-0.841642228739003,,0.0690123,-0.0671185,,0.45376782077393074,-0.47384091875797535
0.8426197458455523,-0.841642228739003,,0.0715188,-0.0697364,,0.45376782077393074,-0.48017241379310344
0.8426197458455523,-0.841642228739003,,0.07332904999999999,-0.0715188,,0.4784195834228044,-0.4743453268043432
0.8426197458455523,-0.841642228739003,,0.0760305,-0.07419239999999999,,0.504643261608154,-0.5163383545770568
0.8426197458455523,-0.841642228739003,,0.07903829999999999,-0.07711665,,0.5258437573755015,-0.4954414053813654
0.8426197458455523,-0.841642228739003,,0.0813777,-0.07940035,,0.515263644773358,-0.524482109227872
0.8426197458455523,-0.841642228739003,,0.08341074999999999,-0.0814891,,0.5067091198544462,-0.5225140712945592
0.8426197458455523,-0.841642228739003,,0.0867806,-0.08491465,,0.5446101197751161,-0.505788876276958
0.8426197458455523,-0.841642228739003,,0.0896213,-0.08781105,,0.5268384960983684,-0.5133640552995392
0.8426197458455523,-0.841642228739003,,0.0912366,-0.0893428,,0.5524423506074883,-0.524235294117647
0.8426197458455523,-0.841642228739003,,0.0940216,-0.09209995,,0.5520317145688801,-0.5933422103861519
0.8426197458455523,-0.841642228739003,,0.09906245,-0.09711295,,0.5470169408298552,-0.5626262626262627
