Motion Profile: Recording - 4425 2018.03.83,,,,,,,,,
Left Output,Right Output,,Left Position,Right Position,,Left Velocity,Right Velocity,,
0,-0.833822092,,0.0726885,2.79E-05,,-0.030889101,0,,
0,-0.833822092,,0.0728556,2.79E-05,,0.03736437,0,,
0,-0.48973607,,0.07316195,2.79E-05,,0.049842285,0,,
0,-0.48973607,,0.0733569,0,,0.036590573,0,,
0,-0.48973607,,0.0734683,2.79E-05,,0.029566325,0,,
0,-0.48973607,,0.0735797,2.79E-05,,0.025030895,0,,
0,-0.48973607,,0.07371895,0,,0.029400121,0,,
0,-0.48973607,,0.07405315,0,,0.039235023,0,,
0,-0.48973607,,0.07438735,0,,0.033629681,0,,
0,-0.48973607,,0.07449875,2.79E-05,,0.035695403,0,,
0,-0.48973607,,0.074638,0,,0.036175291,0,,
0,-0.48973607,,0.07477725,0,,0.035809573,0,,
0.240469208,-0.48973607,,0.0750279,0,,0.076007232,0,,
0.240469208,-0.255131965,,0.07527855,0,,0.044749739,0,,
0.240469208,-0.255131965,,0.07583555,0,,0.169403893,0,,
0.240469208,-0.255131965,,0.07745085,2.79E-05,,0.182413624,0,,
0.240469208,-0.255131965,,0.0784813,2.79E-05,,0.136645201,0,,
0.240469208,-0.255131965,,0.0791497,2.79E-05,,0.102192459,0,,
0.240469208,-0.255131965,,0.07951175,0,,0.087585502,0,,
0.247311828,-0.255131965,,0.07990165,0,,0.06575957,0,,
0.247311828,-0.255131965,,0.08006875,2.79E-05,,0.056791823,0,,
0.247311828,-0.247311828,,0.08029155,0,,0.041460419,0,,
0.247311828,-0.247311828,,0.0806536,0,,0.128526103,0,,
0.247311828,-0.247311828,,0.0812106,0,,0.112684604,0,,
0.247311828,-0.247311828,,0.08185115,0,,0.089510265,0,,
0.247311828,-0.247311828,,0.0826588,0,,0.124699166,0,,
0.247311828,-0.247311828,,0.08279805,2.79E-05,,0.12634683,0,,
0.247311828,-0.247311828,,0.0834386,2.79E-05,,0.143686315,0,,
0.247311828,-0.247311828,,0.08419055,2.79E-05,,0.140950212,0,,
0.26686217,-0.263929619,,0.0848311,0,,0.123571825,0,,
0.26686217,-0.263929619,,0.0859451,2.79E-05,,0.121126454,0,,
0.26686217,-0.263929619,,0.0866692,0,,0.114514803,0,,
0.26686217,-0.263929619,,0.0868363,2.79E-05,,0.112639029,0,,
0.26686217,-0.263929619,,0.08736545,0,,0.133237651,0,,
0.26686217,-0.263929619,,0.0883959,2.79E-05,,0.156912459,0,,
0.26686217,-0.263929619,,0.0891757,0,,0.18574406,0,,
0.506353861,-0.502443793,,0.0907353,2.79E-05,,0.244030668,0,,
0.506353861,-0.502443793,,0.09104165,0,,0.240500864,0,,
0.506353861,-0.502443793,,0.09404945,0,,0.243364282,0,,
0.506353861,-0.502443793,,0.09477355,0,,0.253671866,0,,
0.506353861,-0.502443793,,0.0956926,0,,0.248910736,0,,
0.506353861,-0.502443793,,0.09694585,0,,0.227462991,0,,
0.515151515,-0.502443793,,0.0979763,0,,0.238441781,0,,
0.515151515,-0.502443793,,0.0989789,2.79E-05,,0.247061433,0,,
0.515151515,-0.511241447,,0.10028785,0,,0.274959891,0,,
0.515151515,-0.511241447,,0.1022095,2.79E-05,,0.304746273,0,,
0.515151515,-0.511241447,,0.10507805,0,,0.307395143,0,,
0.515151515,-0.511241447,,0.10518945,2.79E-05,,0.311608392,0,,
0.515151515,-0.511241447,,0.10708325,0,,0.337320212,0,,
0.515151515,-0.511241447,,0.10886565,0,,0.348342714,0,,
0.515151515,-0.511241447,,0.11109365,0,,0.345855324,0,,
0.515151515,-0.511241447,,0.11231905,0,,0.38815331,0,,
0.515151515,-0.511241447,,0.114185,2.79E-05,,0.389578598,0,,
0.515151515,-0.511241447,,0.11822325,2.79E-05,,0.365725542,0,,
0.515151515,-0.511241447,,0.11872455,0,,0.370777168,0,,
0.515151515,-0.511241447,,0.12106395,2.79E-05,,0.375716695,0,,
0.515151515,-0.511241447,,0.12384895,0,,0.397218756,0,,
0.340175953,-0.511241447,,0.12435025,0,,0.382949467,0,,
0.340175953,-0.511241447,,0.1259377,0,,0.354269359,0,,
0.340175953,-0.332355816,,0.12774795,2.79E-05,,0.326207906,0,,
0.340175953,-0.332355816,,0.1293354,0,,0.33328347,0,,
0.340175953,-0.332355816,,0.13326225,2.79E-05,,0.351142632,0,,
0.340175953,-0.332355816,,0.1356295,0,,0.360517799,0,,
0.340175953,-0.332355816,,0.1362979,0,,0.347473487,0,,
0.357771261,-0.332355816,,0.13827525,2.79E-05,,0.345962733,0,,
0.357771261,-0.332355816,,0.13925,2.79E-05,,0.334685294,0,,
0.357771261,-0.349951124,,0.1410324,0,,0.383212934,0,,
0.357771261,-0.349951124,,0.14312115,0,,0.367717445,0,,
0.357771261,-0.349951124,,0.14674165,0,,0.359644875,0,,
0.357771261,-0.349951124,,0.14791135,2.79E-05,,0.406866326,0,,
0.357771261,-0.349951124,,0.14952665,2.79E-05,,0.355513005,0,,
0.357771261,-0.349951124,,0.1512812,2.79E-05,,0.364707808,0,,
0.357771261,-0.349951124,,0.15270155,2.79E-05,,0.363992812,0,,
0.357771261,-0.349951124,,0.1543447,2.79E-05,,0.363339856,0,,
0.330400782,-0.324535679,,0.15604355,0,,0.343033102,0,,
0.330400782,-0.324535679,,0.15877285,0,,0.368752069,0,,
0.330400782,-0.324535679,,0.1623098,2.79E-05,,0.359296888,0,,
0.330400782,-0.324535679,,0.1636466,0,,0.36881311,0,,
0.330400782,-0.324535679,,0.16462135,2.79E-05,,0.371457152,0,,
0.330400782,-0.324535679,,0.16679365,0,,0.368447164,0,,
0.321603128,-0.324535679,,0.1685482,2.79E-05,,0.343033102,0,,
0.321603128,-0.324535679,,0.1697179,0,,0.325635779,0,,
0.321603128,-0.315738025,,0.17158385,2.79E-05,,0.406421014,0,,
0.321603128,-0.315738025,,0.1766247,0,,0.37904049,0,,
0.321603128,-0.315738025,,0.17737665,2.79E-05,,0.374831763,0,,
0.321603128,-0.315738025,,0.18010595,2.79E-05,,0.373637431,0,,
0.321603128,-0.315738025,,0.1809136,2.79E-05,,0.386671295,0,,
0.321603128,-0.315738025,,0.18272385,2.79E-05,,0.382226797,0,,
0.321603128,-0.315738025,,0.1845898,0,,0.389238295,0,,
0.321603128,-0.315738025,,0.18656715,2.79E-05,,0.369240968,0,,
0.321603128,-0.315738025,,0.1918865,0,,0.39778611,0,,
0.321603128,-0.315738025,,0.1930005,0,,0.396018486,0,,
0.321603128,-0.315738025,,0.19514495,0,,0.407983886,0,,
0.321603128,-0.315738025,,0.1963425,2.79E-05,,0.379234043,0,,
0.321603128,-0.315738025,,0.1985148,0,,0.419190969,0,,
0.321603128,-0.315738025,,0.20010225,0,,0.418168168,0,,
0.330400782,-0.324535679,,0.20216315,0,,0.416682252,0,,
0.330400782,-0.324535679,,0.2074268,2.79E-05,,0.417619494,0,,
0.330400782,-0.324535679,,0.2086522,0,,0.413128129,0,,
0.330400782,-0.324535679,,0.21040675,0,,0.401875902,0,,
0.330400782,-0.324535679,,0.2128297,0,,0.416215206,0,,
0.330400782,-0.324535679,,0.21408295,0,,0.428379158,0,,
0.330400782,-0.324535679,,0.21597675,2.79E-05,,0.430614612,0,,
0.356793744,-0.350928641,,0.21809335,0,,0.43011583,0,,
0.356793744,-0.350928641,,0.22065555,2.79E-05,,0.446403526,0,,
0.356793744,-0.350928641,,0.225028,2.79E-05,,0.411753835,0,,
0.356793744,-0.350928641,,0.2263091,2.79E-05,,0.407909191,0,,
0.356793744,-0.350928641,,0.227813,2.79E-05,,0.463876744,0,,
0.356793744,-0.350928641,,0.23090435,0,,0.434731707,0,,
0.356793744,-0.350928641,,0.23240825,0,,0.438237608,0,,
0.356793744,-0.350928641,,0.23519325,2.79E-05,,0.465038614,0,,
0.365591398,-0.359726295,,0.23658575,0,,0.46118816,0,,
0.365591398,-0.359726295,,0.24282415,0,,0.483611895,0,,
0.365591398,-0.359726295,,0.24377105,0,,0.471035941,0,,
0.365591398,-0.359726295,,0.24611045,0,,0.46099731,0,,
